prompt,ground_truth,generated_plan,precision,recall,f1,true_skip_ratio,transmission_rate,num_tokens,latency_s,throughput_tok_per_s
I would like to order a Unicorn Frappe with extra milk.,1. Prepare blender 2. Add ice 3. Drizzle colored syrup 4. Pour milk 5. Blend well 6. Pour into cup 7. Pour milk 8. Serve beverage 9. Done, 1. Prepare blender 2. Add ice 3. Drizzle cherry syrup 4. Pour milk 5. Blend well 6. Pour into cup 7. Pour milk 8. Serve beverage 9. Done,0.889,0.889,0.889,1.0,0.0,57,5.469,10.4
"May I have a One Plain Yogurt Smoothie with caramel drizzle, please., thank you?",1. Prepare blender 2. Add ice 3. Add yogurt 4. Pour milk 5. Blend well 6. Pour into cup 7. Drizzle caramel syrup 8. Serve beverage 9. Done, 1. Prepare blender 2. Add ice 3. Add yogurt 4. Add milk 5. Blend well 6. Pour into cup 7. Drizzle caramel syrup 8. Serve beverage 9. Done,0.889,0.889,0.889,1.0,0.0,60,2.480,24.2
I would like to order a Decaf Cafe Latte with extra milk.,1. Place cup 2. Pour decaf espresso shots 3. Pour milk 4. Pour milk 5. Serve beverage 6. Done, 1. Place cup 2. Pour decaf espresso shots 3. Pour milk 4. Pour milk 5. Serve beverage 6. Done,1.000,1.000,1.000,1.0,0.0,38,1.596,23.8
"May I have a One Unicorn Frappe with caramel drizzle, please., thank you?",1. Prepare blender 2. Add ice 3. Drizzle colored syrup 4. Pour milk 5. Blend well 6. Pour into cup 7. Drizzle caramel syrup 8. Serve beverage 9. Done, 1. Prepare blender 2. Add ice 3. Drizzle foam 4. Pour milk 5. Blend well 6. Pour into cup 7. Drizzle caramel syrup 8. Serve beverage 9. Done,0.889,0.889,0.889,1.0,0.0,62,2.585,24.0
I would like to order a Vanilla Latte with extra milk.,1. Place cup 2. Drizzle vanilla syrup 3. Pour espresso 4. Pour milk 5. Pour milk 6. Serve beverage 7. Done, 1. Place cup 2. Drizzle vanilla syrup 3. Pour espresso 4. Pour milk 5. Garnish vanilla powder 6. Garnish milk ice 7. Serve beverage 8. Done,0.750,0.857,0.800,1.0,0.0,57,2.383,23.9
I would like to order a Grapefruit Ade with extra milk.,1. Place cup 2. Add ice 3. Drizzle grapefruit syrup 4. Pour soda water 5. Stir 6. Pour milk 7. Serve beverage 8. Done, 1. Place cup 2. Add ice 3. Drizzle grapefruit syrup 4. Pour soda water 5. Stir 6. Pour milk 7. Serve beverage 8. Done,1.000,1.000,1.000,1.0,0.0,51,2.090,24.4
I would like to order a Blue Lemonade with extra milk.,1. Place cup 2. Add ice 3. Drizzle blue syrup 4. Pour lemonade 5. Garnish lemon slice 6. Pour milk 7. Serve beverage 8. Done, 1. Place cup 2. Pour blue lemonade 3. Garnish lemon slice 4. Pour milk 5. Serve beverage 6. Done,0.833,0.625,0.714,1.0,0.0,38,1.583,24.0
Please may I have a Strawberry Cookie Frappe with an extra shot of espresso?,1. Prepare blender 2. Add ice 3. Drizzle strawberry syrup 4. Drizzle cookie syrup 5. Pour milk 6. Blend well 7. Pour into cup 8. Pour espresso 9. Serve beverage 10. Done, 1. Prepare blender 2. Add ice 3. Drizzle strawberry syrup 4. Pour milk 5. Blend well 6. Pour into cup 7. Pour espresso 8. Serve beverage 9. Done,1.000,0.900,0.947,1.0,0.0,60,2.507,23.9
Could you please prepare a Plain Pong Crush with a dash of vanilla syrup for me?,1. Prepare blender 2. Add ice 3. Pour milk 4. Blend well 5. Pour into cup 6. Drizzle vanilla syrup 7. Serve beverage 8. Done, 1. Prepare blender 2. Add ice 3. Pour water 4. Blend boundedonk 5. Pour into cup 6. Drizzle vanilla syrup 7. Serve beverage 8. Done,0.750,0.750,0.750,1.0,0.0,53,2.176,24.4
"May I have a with caramel drizzle, thank you?",1. Place cup 2. Add ice 3. Drizzle citron syrup 4. Pour hot water 5. Stir 6. Drizzle caramel syrup 7. Serve beverage 8. Done, 1. Place cup 2. Drizzle chocolate syrup 3. Drizzle caramel syrup 4. Garnish whipped cream 5. Serve beverage 6. Done,0.667,0.500,0.571,1.0,0.0,50,2.085,24.0
Could you please prepare a Cafe Mocha with a dash of vanilla syrup for me?,1. Place cup 2. Drizzle chocolate syrup 3. Pour espresso 4. Pour milk 5. Garnish chocolate powder 6. Drizzle vanilla syrup 7. Serve beverage 8. Done, 1. Place cup 2. Drizzle chocolate syrup 3. Pour espresso 4. Pour milk 5. Drizzle vanilla syrup 6. Serve beverage 7. Done,1.000,0.875,0.933,1.0,0.0,51,2.123,24.0
Could you please prepare a Lemon Tea with a dash of vanilla syrup for me?,1. Place cup 2. Add ice 3. Drizzle lemon syrup 4. Pour hot water 5. Stir 6. Drizzle vanilla syrup 7. Serve beverage 8. Done, 1. Place cup 2. Add ice 3. Drizzle lemon syrup 4. Pour cold brew 5. Stir 6. Drizzle vanilla syrup 7. Serve beverage 8. Done,0.875,0.875,0.875,1.0,0.0,55,2.290,24.0
