prompt,ground_truth,generated_plan,precision,recall,f1,true_skip_ratio,transmission_rate,num_tokens,latency_s,throughput_tok_per_s
Could you please prepare a Sweet Potato Latte with a dash of vanilla syrup for me?,1. Place cup 2. Drizzle sweet potato syrup 3. Pour milk 4. Garnish sweet potato powder 5. Drizzle vanilla syrup 6. Serve beverage 7. Done, 1. Place cup 2. Drizzle sweet potato syrup 3. Pour milk 4. Garnish sweet potato powder 5. Drizzle vanilla syrup 6. Serve beverage 7. Done,1.000,1.000,1.000,0.9636363636363636,0.2,55,6.580,8.4
"May I have a One Sweet Potato Latte with caramel drizzle, please., thank you?",1. Place cup 2. Drizzle sweet potato syrup 3. Pour milk 4. Garnish sweet potato powder 5. Drizzle caramel syrup 6. Serve beverage 7. Done, 1. Place cup 2. Drizzle sweet potato syrup 3. Pour milk 4. Garnish sweet potato powder 5. Drizzle caramel syrup 6. Serve beverage 7. Done,1.000,1.000,1.000,0.9642857142857143,0.23214285714285715,56,3.869,14.5
I would like to order a Plain Pong Crush with extra milk.,1. Prepare blender 2. Add ice 3. Pour milk 4. Blend well 5. Pour into cup 6. Pour milk 7. Serve beverage 8. Done, 1. Place cup 2. Add ice 3. Pour milk 4. Garnish peanut 5. Pour water 6. Stir 7. Serve beverage 8. Done,0.500,0.500,0.500,0.9111111111111111,0.35555555555555557,45,3.813,11.8
I would like to order a Royal Milk-Tea Latte with extra milk.,1. Place cup 2. Pour black tea concentrate 3. Pour milk 4. Pour milk 5. Serve beverage 6. Done, 1. Place cup 2. Pour black tea concentrate 3. Pour milk 4. Pour milk 5. Serve beverage 6. Done,1.000,1.000,1.000,0.9411764705882353,0.2647058823529412,34,2.338,14.5
Please may I have a Green Tea Frappe with an extra shot of espresso?,1. Prepare blender 2. Add ice 3. Drizzle green tea syrup 4. Pour milk 5. Blend well 6. Pour into cup 7. Pour espresso 8. Serve beverage 9. Done, 1. Prepare blender 2. Add ice 3. Drizzle green tea syrup 4. Pour milk 5. Blend well 6. Pour into cup 7. Pour espresso 8. Serve beverage 9. Done,1.000,1.000,1.000,1.0,0.22033898305084745,59,3.958,14.9
"May I have a One Decaf Americano with caramel drizzle, please., thank you?",1. Place cup 2. Add ice 3. Pour water 4. Pour decaf espresso shots 5. Drizzle caramel syrup 6. Serve beverage 7. Done, 1. Place cup 2. Add ice 3. Pour water 4. Pour decaf espresso shots 5. Drizzle caramel syrup 6. Serve beverage 7. Done,1.000,1.000,1.000,1.0,0.2,50,3.132,16.0
Could you please prepare a Lime Mojito with a dash of vanilla syrup for me?,1. Place cup 2. Add ice 3. Drizzle lime syrup 4. Drizzle mint syrup 5. Pour soda water 6. Stir 7. Drizzle vanilla syrup 8. Serve beverage 9. Done, 1. Place cup 2. Add ice 3. Drizzle lime syrup 4. Drizzle mint syrup 5. Pour soda water 6. Stir 7. Drizzle vanilla syrup 8. Serve beverage 9. Done,1.000,1.000,1.000,1.0,0.2923076923076923,65,5.162,12.6
"Would you get me a Strawberry Latte with whipped cream, please?",1. Place cup 2. Drizzle strawberry syrup 3. Pour milk 4. Garnish whipped cream 5. Serve beverage 6. Done, 1. Place cup 2. Drizzle strawberry syrup 3. Pour milk 4. Garnish whipped cream 5. Serve beverage 6. Done,1.000,1.000,1.000,0.9767441860465116,0.23255813953488372,43,2.794,15.4
Could you please prepare a Mega Choco Latte with a dash of vanilla syrup for me?,1. Place cup 2. Drizzle chocolate syrup 3. Pour milk 4. Drizzle vanilla syrup 5. Serve beverage 6. Done, 1. Place cup 2. Drizzle chocolate syrup 3. Pour milk 4. Drizzle vanilla syrup 5. Serve beverage 6. Done,1.000,1.000,1.000,0.9545454545454546,0.2727272727272727,44,3.171,13.9
Could you please prepare a Apple Citron Tea with a dash of vanilla syrup for me?,1. Place cup 2. Add ice 3. Drizzle apple syrup 4. Pour hot water 5. Stir 6. Drizzle vanilla syrup 7. Serve beverage 8. Done, 1. Place cup 2. Add ice 3. Drizzle apple syrup 4. Pour hot water 5. Stir 6. Drizzle vanilla syrup 7. Serve beverage 8. Done,1.000,1.000,1.000,1.0,0.24528301886792453,53,3.821,13.9
